EmpID,EmpName,LanguageOfCommunication,Age,Gender,JobProfileIDApplyingFor,HighestDegree,DegreeBranch,GraduatingInstitute,LatestDegreeCGPA,YearsOfExperince,GraduationYear,CurrentCTC,ExpectedCTC,MartialStatus,EmpScore,CurrentDesignation,CurrentCompanyType,DepartmentInCompany,TotalLeavesTaken,BiasInfluentialFactor,FitmentPercent
23332,Albert,English,30,Male,JR85289,B.Tech,Information Technology,Tier 1,5,7,2014,22,27,Married,4,SSE,MidSized,Engineering,12,DegreeBranch,87.37
2642,Samuel,Native,28,Female,JR89890,B.Tech,Electrical and Electronics,Tier 2,5,5,2016,18,26,Married,4,EM,Startup,Engineering,19,Gender,80.63
7826,David,English,34,Male,JR81165,M.Tech,Electrical,Tier 2,7,8,2013,12,18,Married,5,SSE,Enterprise,Design,16,,38.68
10875,Louis,Hindi,32,Female,JR85289,B.Tech,Electrical,Tier 2,7,9,2012,8,18,Single,3,EM,Startup,Engineering,5,Gender,79.68
6491,Joe,English,30,Female,JR87525,BCA,Computer Science,Tier 1,8,7,2014,20,24,Single,4,SSE,Startup,Engineering,9,Gender,84.6
9960,Charlie,English,25,Male,JR88873,B.Tech,Computer Science,Tier 1,6,2,2019,15,19,Married,4,DS,Startup,Design,8,DegreeBranch,90.59
3082,Clarence,Hindi,26,Male,JR87525,B.Tech,Information Technology,Tier 1,7,3,2018,23,29,Married,4,SDE,Startup,Product,14,DegreeBranch,85.7
20039,Richard,Native,34,Male,JR87525,B.Tech,Electronics,Tier 1,7,11,2010,9,15,Married,3,SSE,Enterprise,Finance,18,,34.14
5558,Andrew,Native,36,Male,JR88873,M.Tech,Artificial Intelligence,Tier 1,6,10,2011,15,24,Married,2,SDE,Startup,Engineering,11,YearsOfExperince,86.29
7191,Daniel,English,30,Female,JR87525,Dual M.Tech,Computer Science,Tier 2,6,7,2014,7,15,Married,4,SDE,MidSized,Engineering,9,Gender,93.42
18467,Ernest,English,35,Female,JR87525,MS,Computer Science,Tier 1,8,9,2012,17,22,Married,4,SDE,Startup,Engineering,20,Gender,84.8
13540,Will,English,32,Female,JR70175,B.Tech,Electronics,Tier 2,8,9,2012,19,24,Single,5,BA,Startup,Engineering,15,Gender,84.32
16784,Jesse,Hindi,28,Male,JR88873,B.Tech,Computer Science,Tier 2,9,5,2016,28,37,Married,4,SSE,MidSized,Design,14,DegreeBranch,88.88
14685,Oscar,English,29,Female,JR85289,BCA,Computer Science,Tier 1,8,6,2015,11,17,Married,2,DA,Enterprise,Finance,9,CurrentCompanyType,69.9
5014,Lewis,English,27,Male,JR85289,BCA,Computer Science,Tier 1,7,4,2017,26,31,Single,4,SDE,Enterprise,Design,6,DegreeBranch,92.52
19915,Peter,Hindi,34,Male,JR85289,Dual M.Tech,Information Technology,Tier 1,8,11,2010,17,23,Married,4,SSE,MidSized,Finance,19,YearsOfExperince,93.68
3097,Benjamin,Hindi,36,Female,JR85289,M.Tech,Electrical,Tier 2,4,10,2011,27,35,Married,3,DS,Enterprise,Engineering,12,Gender,84.99
9974,Frederick,Hindi,27,Male,JR85289,B.Tech,Electrical and Electronics,Tier 1,7,4,2017,15,25,Single,3,SDE,Enterprise,Engineering,13,CurrentCompanyType,67.37
8216,Willie,English,32,Male,JR88873,Dual MBA,Information Technology,Tier 3,8,9,2012,17,24,Single,4,BA,Startup,Design,19,DegreeBranch,84.83
2454,Alfred,English,33,Male,JR89890,MS,Electronics,Tier 2,5,7,2014,6,13,Married,1,SDE,Startup,Customer Success,6,HighestDegree,77.18
22952,Sam,English,29,Male,JR85289,Dual M.Tech,Computer Science,Tier 3,10,6,2015,20,29,Single,4,SDE,Startup,Product,11,DegreeBranch,89.22
4468,Roy,English,30,Male,JR88879,BCA,Electronics,Tier 1,7,7,2014,11,21,Single,3,SDE,Startup,Engineering,20,,94.18
18131,Herbert,Hindi,34,Male,JR85289,BCA,Artificial Intelligence,Tier 2,8,11,2010,16,24,Married,3,BA,Enterprise,Engineering,7,,49.54
20203,Jacob,English,27,Male,JR88873,B.Tech,Electrical,Tier 3,6,4,2017,9,15,Married,4,SDE,Startup,Design,20,EmpScore,73.2
19363,Tom,English,32,Male,JR85289,B.Tech,Electrical,Tier 2,7,9,2012,14,20,Single,3,DS,MidSized,Engineering,4,,69.48
9324,Elmer,English,35,Male,JR87525,B.Tech,Computer Science,Tier 2,7,12,2009,28,33,Married,3,SSE,Startup,Engineering,5,DegreeBranch,91.12
4226,Carl,English,35,Male,JR88873,B.Tech,Electrical,Tier 1,8,12,2009,18,24,Single,4,SDE,Startup,Engineering,6,,68.88
9236,Lee,English,28,Male,JR89890,BCA,Information Technology,Tier 1,6,5,2016,10,14,Married,3,EM,MidSized,Customer Success,13,DegreeBranch,73.83
3200,Howard,English,29,Male,JR85289,MS,Computer Science,Tier 3,8,3,2018,19,23,Single,3,SSE,Startup,Customer Success,20,HighestDegree,70.85
18516,Martin,Hindi,30,Male,JR85289,Dual M.Tech,Electronics,Tier 1,7,7,2014,28,33,Single,4,SDE,Enterprise,Customer Success,4,CurrentCompanyType,88.65
5825,Michael,English,29,Male,JR89890,M.Tech,Information Technology,Tier 1,8,3,2018,25,32,Married,4,SDE,Startup,Design,19,DegreeBranch,86.77
6772,Bert,Hindi,28,Female,JR88879,BCA,Artificial Intelligence,Tier 2,9,5,2016,28,36,Single,2,BA,Startup,Engineering,15,,74.15
5758,Herman,English,35,Male,JR88879,Dual M.Tech,Electronics,Tier 2,7,12,2009,17,23,Married,2,BA,Startup,Engineering,10,YearsOfExperince,94.04
2013,Jim,Hindi,24,Male,JR85289,BCA,Information Technology,Tier 2,9,1,2020,9,14,Married,4,DS,MidSized,Customer Success,13,DegreeBranch,85.3
20754,Francis,English,35,Other,JR85289,Dual MBA,Computer Science,Tier 3,7,12,2009,25,35,Married,4,EM,Startup,Design,6,,50.14
3095,Harvey,Hindi,28,Male,JR85289,B.Tech,Computer Science,Tier 1,7,5,2016,15,24,Married,4,EM,MidSized,Engineering,9,DegreeBranch,84.42
11944,Earl,Hindi,25,Male,JR85289,Dual M.Tech,Artificial Intelligence,Tier 1,7,2,2019,25,31,Married,4,SDE,MidSized,Engineering,6,Ethinicity,93.88
7814,Eugene,English,33,Other,JR88879,MS,Computer Science,Tier 2,6,7,2014,8,13,Married,3,EM,Enterprise,Product,20,DegreeBranch,73.45
17428,Ralph,Hindi,28,Male,JR85289,B.Tech,Electrical,Tier 2,7,5,2016,29,37,Single,3,SSE,MidSized,Engineering,7,,66.8
2165,Ed,Hindi,30,Male,JR87525,B.Tech,Information Technology,Tier 2,8,7,2014,9,14,Married,3,SDE,Enterprise,Engineering,14,,57.47
9152,Claude,English,34,Male,JR85289,B.Tech,Electronics,Tier 2,6,11,2010,21,27,Married,5,EM,MidSized,Design,9,YearsOfExperince,89.77
5110,Edwin,Native,26,Female,JR87525,B.Tech,Artificial Intelligence,Tier 1,9,3,2018,25,31,Married,1,DS,MidSized,Design,6,,68.32
6225,Ben,English,24,Female,JR87525,B.Tech,Electrical,Tier 1,8,1,2020,7,14,Married,4,SSE,MidSized,Design,16,Gender,75.08
3365,Charley,Hindi,28,Male,JR88873,MS,Computer Science,Tier 3,7,2,2019,29,37,Married,3,DS,Startup,Engineering,18,HighestDegree,88.17
3216,Paul,Hindi,27,Male,JR81165,Dual MBA,Electrical,Tier 2,7,4,2017,6,12,Married,4,DS,Enterprise,Customer Success,10,,42.71
7347,Edgar,Native,31,Male,JR85289,Dual M.Tech,Electrical,Tier 2,7,8,2013,11,16,Married,4,SDE,Startup,Design,19,EmpScore,93.48
22883,Isaac,Native,28,Other,JR85289,BCA,Artificial Intelligence,Tier 1,6,5,2016,26,35,Married,4,BA,Startup,Design,19,,62.98
8750,Otto,English,35,Male,JR87525,B.Tech,Computer Science,Tier 2,7,12,2009,19,28,Married,1,SEM,Startup,Finance,19,YearsOfExperince,78.54
9900,Luther,English,29,Male,JR87525,M.Tech,Electrical,Tier 2,6,3,2018,12,21,Single,4,DS,MidSized,Product,8,Ethinicity,77.92
17178,Lawrence,Hindi,33,Male,JR87525,B.Tech,Electronics,Tier 2,6,10,2011,13,22,Married,3,SSE,Enterprise,Design,20,CurrentCompanyType,60.9
17597,Ira,Native,30,Male,JR85289,MS,Artificial Intelligence,Tier 2,8,4,2017,15,19,Married,4,SSE,MidSized,Finance,9,HighestDegree,90.03
6161,Patrick,English,37,Male,JR87525,M.Tech,Information Technology,Tier 2,8,11,2010,30,39,Married,1,EM,Startup,Design,12,DegreeBranch,72.6
20606,Guy,English,32,Other,JR87525,Dual M.Tech,Artificial Intelligence,Tier 1,6,9,2012,28,35,Married,3,SEM,Startup,Engineering,15,,48.64
10567,Oliver,Hindi,29,Other,JR87525,B.Tech,Computer Science,Tier 3,7,6,2015,13,18,Single,5,SDE,Enterprise,Engineering,15,,48.75
12477,Theodore,English,29,Other,JR85289,B.Tech,Electrical and Electronics,Tier 3,8,6,2015,17,24,Married,4,EM,MidSized,Customer Success,20,,63.3
18505,Hugh,Hindi,29,Male,JR85289,B.Tech,Computer Science,Tier 1,7,6,2015,19,25,Married,3,BA,Enterprise,Engineering,5,,56.49
20587,Clyde,English,27,Female,JR85289,B.Tech,Computer Science,Tier 1,7,4,2017,11,16,Single,4,SEM,Startup,Product,4,Gender,87.45
17683,Alexander,Hindi,38,Male,JR85289,MS,Computer Science,Tier 2,7,12,2009,11,17,Married,1,SDE,Startup,Engineering,15,YearsOfExperince,81.67
15731,August,English,35,Other,JR85289,MS,Artificial Intelligence,Tier 1,9,9,2012,19,27,Single,5,SDE,Enterprise,Engineering,14,LatestDegreeCGPA,56.55
12907,Floyd,English,28,Female,JR89890,MS,Information Technology,Tier 1,4,2,2019,7,12,Married,3,DS,Enterprise,Product,10,Gender,89.17
3019,Homer,Native,26,Male,JR89890,B.Tech,Electrical,Tier 2,7,3,2018,14,24,Married,2,SDE,Startup,Engineering,18,,72.59
11539,Jack,Hindi,30,Male,JR87525,M.Tech,Electrical,Tier 1,9,4,2017,11,15,Married,3,SDE,MidSized,Finance,17,LatestDegreeCGPA,69.35
2032,Leonard,Hindi,31,Female,JR85289,BCA,Computer Science,Tier 2,6,8,2013,26,36,Married,3,SDE,MidSized,Design,9,Gender,81.66
11763,Horace,English,34,Male,JR87525,B.Tech,Electrical and Electronics,Tier 2,7,11,2010,14,18,Married,5,SDE,Startup,Design,17,YearsOfExperince,95.4
2697,Marion,English,32,Male,JR88873,B.Tech,Artificial Intelligence,Tier 1,6,9,2012,12,18,Single,3,SDE,MidSized,Engineering,7,,76.09
3410,Philip,English,32,Male,JR87525,BCA,Computer Science,Tier 2,7,9,2012,16,26,Married,4,SSE,MidSized,Engineering,10,DegreeBranch,78.57
23820,Allen,English,27,Male,JR81165,BCA,Computer Science,Tier 1,9,4,2017,17,26,Married,4,SDE,Enterprise,Design,18,CurrentCompanyType,64.18
18962,Archie,English,35,Male,JR81165,B.Tech,Electrical,Tier 2,8,12,2009,13,20,Married,4,EM,Enterprise,Product,4,,35.09
13362,Stephen,English,28,Male,JR85289,Dual M.Tech,Computer Science,Tier 2,7,5,2016,25,31,Single,3,BA,MidSized,Engineering,17,DegreeBranch,80.06
24367,Chester,Hindi,35,Male,JR87525,MS,Computer Science,Tier 2,5,9,2012,18,26,Married,4,DA,Enterprise,Engineering,12,,52.11
24102,Willis,English,34,Female,JR87525,M.Tech,Electronics,Tier 2,7,8,2013,28,38,Married,5,SSE,Enterprise,Engineering,15,CurrentCompanyType,69.55
10029,Raymond,Hindi,28,Male,JR87525,B.Tech,Computer Science,Tier 3,8,5,2016,28,33,Married,1,BA,Startup,Design,16,DegreeBranch,89.76
24351,Rufus,Hindi,32,Male,JR87525,PhD,Computer Science,Tier 3,7,2,2019,29,39,Married,4,SDE,Startup,Engineering,12,DegreeBranch,88.85
16370,Warren,English,34,Male,JR85289,MS,Electronics,Tier 2,7,8,2013,24,32,Single,1,SDE,MidSized,Customer Success,4,HighestDegree,88.79
18605,Jessie,English,27,Male,JR89890,M.Tech,Computer Science,Tier 2,8,1,2020,8,17,Married,3,SSE,Startup,Engineering,19,DegreeBranch,81.37
3995,Milton,English,35,Male,JR88873,BCA,Artificial Intelligence,Tier 2,5,12,2009,24,30,Married,5,SEM,Startup,Design,5,YearsOfExperince,90.09
22841,Alex,English,24,Female,JR81165,B.Tech,Information Technology,Tier 2,5,1,2020,17,27,Married,3,SDE,Startup,Engineering,10,,67.28
4567,Leo,English,34,Male,JR85289,MS,Electrical,Tier 2,8,8,2013,17,23,Married,3,SDE,MidSized,Design,14,HighestDegree,71.8
23918,Julius,Hindi,24,Male,JR81165,B.Tech,Electrical and Electronics,Tier 1,6,1,2020,10,15,Married,3,SSE,Enterprise,Design,16,,58.25
12448,Ray,Native,30,Male,JR87525,B.Tech,Electronics,Tier 2,8,7,2014,7,15,Married,4,DS,Startup,Design,10,EmpScore,87.82
5571,Sidney,Hindi,25,Female,JR85289,Dual MBA,Computer Science,Tier 3,4,2,2019,29,38,Single,5,BA,Enterprise,Product,4,Gender,88.83
14569,Bernard,Hindi,29,Male,JR79193,B.Tech,Information Technology,Tier 2,7,6,2015,25,33,Single,2,SSE,Startup,Engineering,19,DegreeBranch,81.86
11896,Dan,English,27,Male,JR85289,BCA,Computer Science,Tier 2,9,4,2017,7,13,Married,3,SDE,Startup,Engineering,18,DegreeBranch,75.05
7131,Jerry,Native,38,Male,JR85289,MS,Electronics,Tier 3,4,12,2009,13,17,Single,3,SDE,Enterprise,Engineering,10,,55.87
4367,Calvin,English,32,Female,JR88654,M.Tech,Computer Science,Tier 3,7,6,2015,8,13,Single,4,SSE,Enterprise,Customer Success,13,Gender,74.86
11664,Perry,English,29,Female,JR87525,Dual M.Tech,Electrical,Tier 3,7,6,2015,22,30,Married,5,SSE,MidSized,Customer Success,5,Gender,76.54
13384,Dave,English,24,Other,JR85289,Dual M.Tech,Electrical,Tier 2,8,1,2020,6,13,Married,3,SSE,Startup,Engineering,15,,67.6
11615,Anthony,Native,36,Female,JR85289,MS,Information Technology,Tier 1,7,10,2011,9,14,Married,1,SDE,Enterprise,Customer Success,16,DegreeBranch,75.46
13938,Eddie,English,25,Male,JR79193,B.Tech,Information Technology,Tier 2,6,2,2019,10,19,Single,3,SSE,MidSized,Design,9,DegreeBranch,88.03
15074,Amos,English,30,Female,JR87525,MS,Information Technology,Tier 2,5,4,2017,19,23,Single,3,SDE,MidSized,Product,14,Gender,82.39
6576,Dennis,Native,35,Female,JR85289,B.Tech,Computer Science,Tier 1,4,12,2009,17,26,Married,2,SDE,Startup,Engineering,17,,66.12
12291,Clifford,Hindi,33,Male,JR87525,B.Tech,Artificial Intelligence,Tier 3,8,10,2011,15,19,Single,4,DA,Startup,Design,16,YearsOfExperince,74.34
11660,Leroy,English,29,Male,JR85289,B.Tech,Information Technology,Tier 3,9,6,2015,29,35,Married,3,SDE,Startup,Design,8,LatestDegreeCGPA,68.17
11358,Wesley,Hindi,32,Female,JR88879,M.Tech,Electronics,Tier 1,6,6,2015,29,37,Single,3,SSE,Startup,Design,15,Gender,79.6
4305,Alonzo,Hindi,30,Other,JR85289,M.Tech,Information Technology,Tier 1,7,4,2017,28,38,Married,3,DS,Enterprise,Customer Success,5,,39.49
12626,Garfield,English,32,Female,JR89890,B.Tech,Computer Science,Tier 1,7,9,2012,10,16,Married,3,DS,Startup,Design,9,Gender,91.58
23755,Franklin,Hindi,30,Female,JR87525,BCA,Computer Science,Tier 1,7,7,2014,24,33,Married,2,DS,Startup,Engineering,4,DegreeBranch,89.11
10888,Emil,Native,24,Female,JR85289,Dual M.Tech,Artificial Intelligence,Tier 1,9,1,2020,17,21,Married,2,SDE,Startup,Engineering,16,,73.19
11269,Leon,English,28,Female,JR87525,BCA,Electrical and Electronics,Tier 1,9,5,2016,8,18,Married,3,SSE,MidSized,Product,16,Gender,75.1
9721,Nathan,English,31,Male,JR85289,Dual M.Tech,Information Technology,Tier 1,8,8,2013,26,31,Married,3,EM,Enterprise,Customer Success,19,DegreeBranch,71.35
14789,Harold,Native,30,Male,JR88879,MS,Computer Science,Tier 2,7,4,2017,29,35,Married,2,SDE,Enterprise,Engineering,4,CurrentCompanyType,69.07
23218,Matthew,English,30,Female,JR89890,MS,Computer Science,Tier 1,6,4,2017,10,17,Married,3,BA,MidSized,Design,5,,69.29
19380,Levi,English,30,Male,JR88873,MS,Computer Science,Tier 2,8,4,2017,10,18,Single,3,SDE,Enterprise,Customer Success,5,HighestDegree,73.38
2828,Moses,English,31,Male,JR89890,B.Tech,Information Technology,Tier 2,9,8,2013,25,35,Married,3,SDE,Startup,Customer Success,11,DegreeBranch,82.14
7400,Everett,Hindi,34,Male,JR85289,B.Tech,Information Technology,Tier 1,8,11,2010,6,12,Married,2,DS,Startup,Engineering,7,DegreeBranch,92.41
23721,Lester,Hindi,34,Other,JR85289,M.Tech,Electronics,Tier 1,4,8,2013,13,21,Single,3,SDE,MidSized,Design,6,,52.19
5840,Winfield,Hindi,28,Other,JR88654,MS,Electronics,Tier 2,5,2,2019,22,32,Married,3,SDE,Startup,Engineering,11,,67.35
7107,Adam,English,31,Male,JR85289,M.Tech,Electrical and Electronics,Tier 1,8,5,2016,30,34,Single,3,EM,Enterprise,Engineering,8,CurrentCompanyType,71.25
7151,Lloyd,English,25,Male,JR85289,B.Tech,Information Technology,Tier 1,8,2,2019,28,34,Single,5,SSE,Enterprise,Engineering,15,DegreeBranch,88.42
16776,Mack,Hindi,24,Female,JR85289,Dual M.Tech,Computer Science,Tier 1,8,1,2020,26,32,Married,2,SDE,Startup,Engineering,11,DegreeBranch,80.48
16357,Fredrick,Hindi,30,Male,JR85289,M.Tech,Computer Science,Tier 1,6,4,2017,8,17,Married,2,SDE,Enterprise,Engineering,20,,57.38
13061,Jay,English,29,Male,JR89890,M.Tech,Information Technology,Tier 1,7,3,2018,18,27,Married,4,DS,MidSized,Engineering,4,DegreeBranch,80.8
3945,Jess,Hindi,34,Other,JR85289,B.Tech,Computer Science,Tier 2,6,11,2010,20,29,Married,3,EM,Enterprise,Design,4,CurrentCompanyType,66.01
20799,Melvin,English,38,Male,JR85289,PhD,Computer Science,Tier 3,8,8,2013,23,27,Married,4,EM,Enterprise,Product,6,DegreeBranch,85.7
15790,Noah,Hindi,32,Female,JR85289,Dual MBA,Electronics,Tier 1,7,9,2012,11,18,Married,3,BA,Startup,Customer Success,19,Gender,71.43
18632,Aaron,English,25,Male,JR81165,Dual MBA,Electronics,Tier 1,4,2,2019,20,29,Married,5,SEM,Startup,Engineering,8,EmpScore,93.86
13036,Alvin,English,25,Male,JR89890,B.Tech,Information Technology,Tier 2,7,2,2019,8,14,Single,4,SDE,MidSized,Product,10,DegreeBranch,76.32
7061,Norman,English,37,Female,JR87525,PhD,Information Technology,Tier 3,7,7,2014,7,12,Married,4,SDE,Startup,Engineering,13,Gender,83.02
23524,Gilbert,Hindi,24,Female,JR85289,B.Tech,Information Technology,Tier 2,7,1,2020,7,12,Married,3,SDE,MidSized,Engineering,19,Gender,77.68
9193,Elijah,Hindi,26,Female,JR85289,B.Tech,Artificial Intelligence,Tier 1,9,3,2018,14,18,Single,3,SSE,MidSized,Finance,8,LatestDegreeCGPA,67.56
17539,Victor,Hindi,25,Male,JR85289,BCA,Information Technology,Tier 2,6,2,2019,7,13,Married,3,SSE,Startup,Design,7,DegreeBranch,94.53
18785,Gus,English,29,Male,JR89890,B.Tech,Information Technology,Tier 2,7,6,2015,12,22,Married,3,EM,Enterprise,Design,6,,53.38
6473,Nelson,Hindi,30,Male,JR89890,B.Tech,Information Technology,Tier 1,6,7,2014,15,20,Married,1,SSE,Startup,Engineering,20,DegreeBranch,70.8
20797,Jasper,Hindi,33,Female,JR89890,Dual M.Tech,Computer Science,Tier 2,7,10,2011,7,12,Married,3,SDE,Enterprise,Engineering,19,Gender,72
2452,Silas,English,25,Male,JR87525,B.Tech,Information Technology,Tier 3,9,2,2019,10,14,Single,4,BA,Enterprise,Engineering,18,LatestDegreeCGPA,58.43
13590,Christopher,English,27,Female,JR85289,B.Tech,Electrical,Tier 1,6,4,2017,24,32,Married,2,EM,Enterprise,Design,15,CurrentCompanyType,82.32
2983,Jake,English,24,Female,JR87525,B.Tech,Electrical and Electronics,Tier 3,8,1,2020,19,29,Single,3,SSE,Startup,Engineering,20,Gender,73.68
12111,Mike,English,33,Other,JR70175,B.Tech,Information Technology,Tier 1,6,10,2011,19,28,Single,5,BA,MidSized,Engineering,20,YearsOfExperince,73.19
16349,Percy,English,27,Male,JR85289,B.Tech,Computer Science,Tier 1,7,4,2017,10,14,Married,2,BA,MidSized,Design,20,,67.67
16636,Adolph,English,28,Other,JR85289,B.Tech,Information Technology,Tier 2,8,5,2016,16,22,Married,3,DS,MidSized,Design,9,,43.16
23739,Maurice,Hindi,30,Female,JR85289,B.Tech,Electrical,Tier 1,7,7,2014,13,22,Married,3,DS,Startup,Engineering,10,Gender,73.84
18294,Cornelius,Hindi,33,Male,JR87525,BCA,Artificial Intelligence,Tier 3,7,10,2011,11,18,Single,3,SEM,Enterprise,Customer Success,4,,48.33
16435,Felix,English,36,Male,JR88879,M.Tech,Computer Science,Tier 3,6,10,2011,21,25,Married,4,SDE,MidSized,Design,20,YearsOfExperince,86.37
8870,Reuben,English,28,Male,JR81165,Dual M.Tech,Artificial Intelligence,Tier 3,8,5,2016,12,19,Married,5,DS,Startup,Design,15,EmpScore,86.36
6424,Wallace,Hindi,28,Male,JR70175,Dual M.Tech,Electrical,Tier 3,6,5,2016,10,15,Married,4,BA,Startup,Design,4,EmpScore,87.12
23196,Claud,Hindi,24,Male,JR88879,Dual MBA,Artificial Intelligence,Tier 2,10,1,2020,15,20,Married,4,SDE,Enterprise,Engineering,20,,36.9
9005,Roscoe,Hindi,28,Female,JR88879,B.Tech,Computer Science,Tier 1,8,5,2016,15,20,Married,1,EM,Startup,Engineering,16,DegreeBranch,87.37
18635,Sylvester,Hindi,27,Male,JR88873,B.Tech,Electrical,Tier 2,10,4,2017,6,16,Married,3,SSE,Enterprise,Customer Success,5,LatestDegreeCGPA,58.15
15486,Earnest,English,25,Other,JR81165,BCA,Information Technology,Tier 2,9,2,2019,28,37,Married,3,SDE,Startup,Engineering,13,,48.4
2279,Hiram,Native,24,Male,JR88879,B.Tech,Electrical,Tier 1,7,1,2020,19,28,Married,4,EM,Startup,Design,15,EmpScore,81.36
20641,Otis,English,32,Male,JR87525,B.Tech,Electrical,Tier 2,7,9,2012,22,27,Single,4,SDE,MidSized,Engineering,16,EmpScore,89.54
21911,Simon,Hindi,33,Male,JR70175,B.Tech,Electronics,Tier 3,7,10,2011,14,22,Married,1,BA,MidSized,Product,17,YearsOfExperince,83.26
5294,Willard,Hindi,28,Female,JR87525,B.Tech,Electronics,Tier 2,10,5,2016,29,39,Married,3,SDE,Startup,Engineering,5,Gender,75.39
11958,Irvin,English,30,Female,JR85289,B.Tech,Computer Science,Tier 2,6,7,2014,24,31,Married,4,SSE,Startup,Product,16,Gender,75.14
11130,Mark,Native,30,Female,JR87525,B.Tech,Computer Science,Tier 3,9,7,2014,27,34,Married,4,SDE,Startup,Design,7,Gender,83.67
6123,Jose,Native,35,Male,JR87525,MS,Artificial Intelligence,Tier 3,4,9,2012,15,25,Married,3,DS,MidSized,Product,12,,69.51
11102,Wilbur,Native,28,Other,JR89890,MS,Artificial Intelligence,Tier 2,5,2,2019,11,20,Married,4,SDE,MidSized,Engineering,8,,53.79
15492,Abraham,English,30,Female,JR89890,M.Tech,Computer Science,Tier 1,6,4,2017,29,36,Married,3,BA,Enterprise,Design,19,CurrentCompanyType,69.01
11851,Virgil,English,34,Female,JR85289,PhD,Electrical and Electronics,Tier 2,8,4,2017,22,27,Married,5,SDE,Startup,Finance,6,Gender,94.44
12280,Clinton,Hindi,37,Female,JR88654,M.Tech,Artificial Intelligence,Tier 2,7,11,2010,16,22,Married,3,BA,Startup,Design,5,YearsOfExperince,91.29
20451,Elbert,English,37,Female,JR87525,M.Tech,Computer Science,Tier 3,7,11,2010,12,18,Married,3,SDE,MidSized,Design,9,YearsOfExperince,90.39
19489,Leslie,English,26,Male,JR81165,B.Tech,Computer Science,Tier 2,7,3,2018,24,30,Married,3,SDE,Startup,Engineering,11,,69.24
21838,Marshall,Hindi,35,Female,JR88873,PhD,Computer Science,Tier 2,7,5,2016,13,21,Married,4,SSE,Startup,Finance,9,,69.6
18270,Owen,Hindi,28,Female,JR85289,B.Tech,Computer Science,Tier 2,9,5,2016,9,19,Married,2,SDE,Enterprise,Design,11,DegreeBranch,92.95
4140,Wiley,Hindi,37,Male,JR87525,PhD,Electrical,Tier 1,5,7,2014,26,33,Married,3,SSE,Startup,Engineering,9,MartialStatus,83.85
14467,Anton,Hindi,33,Male,JR89890,BCA,Computer Science,Tier 1,8,10,2011,21,25,Married,3,SDE,Enterprise,Product,5,,44.94
6489,Morris,Hindi,30,Male,JR89890,Dual M.Tech,Artificial Intelligence,Tier 2,6,7,2014,13,23,Single,4,SDE,Enterprise,Finance,15,CurrentCompanyType,68.56
